,FECHA,FOLIO,PROVEEDOR,DESCRIPCION,TIPO GASTO,IMPORTE,IVA,TOTAL MX
30,2021-01-01,9273592,Servicios Comerciales Amazon México S. de R.L. de C.V.,LEGO Technic 42105 Catamarán (404 piezas),NO DEDUCIBLE,0.0,0.0,0.0
31,2021-01-01,9274025,Servicios Comerciales Amazon México S. de R.L. de C.V.,La admirable aventura de Malala,NO DEDUCIBLE,4200.0,672.0,4872.0
32,2021-01-01,82798,COMERCIALIZADORA ELECTRICA INDUSTRIAL VAZQUEZ SA DE CV,ZAPATA  A INOX 900-37-10 OJILLO 3/16 CAL 14-16,COMPRAS,0.0,0.0,0.0
33,2021-01-01,16955,CLARITY SYSTEMS S.A. DE C.V.,RENTA MENSUAL EQUIPO ACCUA 4A ,ALIMENTOS,0.0,0.0,0.0
34,2021-01-01,373807,"ELECTRONICA ZARAGOZA, S.DE R.L.",INTERLOCK UNIVERSAL 2 M CABLE CALIBRE 18,MTTO COMPUTO,0.01,0.0,0.01
35,2021-01-01,60,RUBEN FELIX DIAZ,Sanitización de areas,MTTO LOCAL,105.0,0.0,105.0
36,2021-01-01,420201201898904,"INTERCAM BANCO S.A., INSTITUCION DE BANCA MULTIPLE, INTERCAM GRUPO FINANCIERO",COMISION POR TIMBRADO FISCAL,COMISION BANCARIA,350.0,56.0,406.0
37,2021-01-01,420201201898904,"INTERCAM BANCO S.A., INSTITUCION DE BANCA MULTIPLE, INTERCAM GRUPO FINANCIERO",COMISION POR TIMBRADO FISCAL,COMISION BANCARIA,177.78,28.44,206.22
38,2021-01-01,70056,NOVATEL MEXICANA S.A. DE C.V,"CINTA 0.005"" C/A STD DE 1""  X 33 MT",COMPRAS,51.7,8.27,59.97
39,2021-01-01,70057,NOVATEL MEXICANA S.A. DE C.V,"NOVAFLON 0.010"" STD C/A SILICONADO O",COMPRAS,3900.0,561.6,4461.6
40,2021-01-01,18444,OPERADORA DE SERVICIOS PAQUETEXPRESS SA DE CV,Pago,PAQUETERIA,600.0,96.0,696.0
41,2021-01-01,40649100,EVO PAYMENTS MEXICO S. DE R. L. DE C.V.,COBRO COMIS TAR CRED A NOM EVOPAYMX,COMISION BANCARIA,516.6,82.66,599.26
42,2021-01-01,4562,"AR PIROMETRIA E INGENIERIA, S.A. DE C.V.","TERMOPAR COMPACTADO SENCILLO TIPO K, DE 1/16"" DE DIAM. EN ACERO 316",COMPRAS,4319.1,601.2,4805.3
43,2021-01-01,4563,"AR PIROMETRIA E INGENIERIA, S.A. DE C.V.","ALAMBRE DESNUDO PARA TERMOPAR TIPO K POSITIVO, CAL. 8 AWG
",COMPRAS,149.22,23.88,173.1
44,2021-01-01,4564,"AR PIROMETRIA E INGENIERIA, S.A. DE C.V.","BLOCK CERAMICO, X 4 CM Ø CON 2 TERMINALES",COMPRAS,198.0,38.57,236.57
45,2021-01-01,4565,"AR PIROMETRIA E INGENIERIA, S.A. DE C.V.","ALAMBRE DESNUDO PARA TERMOPAR TIPO K POSITIVO, CAL. 8 AWG
",COMPRAS,1400.0,224.0,1624.0
46,2021-01-01,4566,"AR PIROMETRIA E INGENIERIA, S.A. DE C.V.","BLOCK CERAMICO, X 4 CM Ø CON 4
TERMINALES EN FORMA DE CRUZ",COMPRAS,3025.75,484.12,3509.87
47,2021-01-01,4567,"AR PIROMETRIA E INGENIERIA, S.A. DE C.V.","TUBO PROTECTOR DE MULLITE DE 25MM
X 19MM X 18"" (D.E X D.I. X L)",COMPRAS,4319.1,601.2,4805.3
48,2021-01-01,4568,"AR PIROMETRIA E INGENIERIA, S.A. DE C.V.","AISLADOR OVALADO CAL. 14 AWG DE 2
CANALES X 3"" DE LARGO
",COMPRAS,360.0,57.6,417.6
49,2021-01-01,4569,"AR PIROMETRIA E INGENIERIA, S.A. DE C.V.","TUBO PROTECTOR DE CARBURO DE
SILICIO DE 1""Ø INT. X 1.75""Ø X 18"" DE
LARGO
",COMPRAS,1139.12,182.26,1321.38
50,2021-01-01,18061295,ADT Private Security Services de México S.A. de C.V.,Monitoreo Dual Com Ret,MONITOREO CAMARAS ADT,1124.95,175.44,1300.39
51,2021-01-01,3339,La Casa del Control y el Gabinete S.A. de C.V.,TC4S-24R CONT TEMP 48X48 2AL REL&SSR 100-240VAC,COMPRAS,4319.1,601.2,4805.3
52,2021-01-01,2807,SOLUCIONES LABORALES CF S.A. DE C.V.,Servicio de comercialización,SUELDOS VENTAS,2000.0,320.0,2320.0
53,2021-01-01,4059,ESQUEMAS DE PRODUCTIVIDAD EMPRESARIAL S.C.,Servicios de contabilidad de costos,SUELDOS PRODUCCION,1687.0,269.92,1956.92
54,2021-01-01,2036,ANDRES FRANCO SOSA,TENSORES DE ACERO INOX. PARA PERNO DE 3/8,COMPRAS,4319.1,601.2,4805.3
55,2021-01-01,43356,MR MULTISERVICIOS INDUSTRIALES SA DE CV,"SOLERA AC A36 1/4"" X 2 1/2""",COMPRAS,0.0,0.0,0.0
56,2021-01-01,3811,NOVATEL MEXICANA S.A. DE C.V,Pago,COMPRAS,202.2,32.35,234.55
57,2021-01-01,101855,OPERADORA DE SERVICIOS PAQUETEXPRESS SA DE CV,SERVICIOS DE PAQUETERIA Y MENSAJERIA,PAQUETERIA,85.34,13.66,99.0
58,2021-01-01,40676333,EVO PAYMENTS MEXICO S. DE R. L. DE C.V.,COBRO COMIS TAR CRED A NOM EVOPAYMX,COMISION BANCARIA,96.83,15.5,112.33
59,2021-01-01,576,TRABAJADORES PROACTIVOS DEL CENTRO SC,Inspección de materiales o productos,SUELDOS PRODUCCION,0.0,0.0,0.0
60,2021-01-01,69552,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",TERMOSTATO C.A.E.M. 50-300C B.C.,COMPRAS,0.0,0.0,0.0
61,2021-01-01,4574,"AR PIROMETRIA E INGENIERIA, S.A. DE C.V.","AISLADOR REDONDO CAL. 8 AWG DE 4
CANALES X 2"" DE LARGO, 9/16 DE DIAM.
",COMPRAS,4319.1,601.2,4805.3
62,2021-01-01,82958,COMERCIALIZADORA ELECTRICA INDUSTRIAL VAZQUEZ SA DE CV,PIROMETRO DIGITAL XMTG-818,COMPRAS,4286.71,685.87,4972.58
63,2021-01-01,247868,ESTACIONES DE SERVICIO S.A. DE C.V.,SYNERGY EXTRA 87 Octanos,COMPRAS,2050.95,328.16,2379.11
64,2021-01-01,1665,JOSE ISMAEL MANCILLA COLUNGA,S CONTABLE MES DICIEMBRE 2020,HONORARIOS CONTABLES,1876.0,300.16,2176.16
65,2021-01-01,49132,"PLACA Y ACERO DE QUERETARO, S.A DE C.V.",PLACA ACERO AL CARBON,COMPRAS,1876.0,300.16,2176.16
66,2021-01-01,40699724,EVO PAYMENTS MEXICO S. DE R. L. DE C.V.,COBRO COMIS TAR CRED A NOM EVOPAYMX,COMISION BANCARIA,900.0,144.0,1044.0
67,2021-01-01,25966,"PRODUCTOS POLIMEX, S.A. DE C.V.",RESISTENCIA CAC DE ALTA 500W/220V,COMPRAS,0.0,0.0,0.0
68,2021-01-01,699357,"ETN TURISTAR LUJO, S.A. DE C.V.",Servicios de entrega local de cartas o paquetes pequeños,PAQUETERIA,105.0,0.0,105.0
69,2021-01-01,4038,"AR PIROMETRIA E INGENIERIA, S.A. DE C.V.",Pago,COMPRAS,351.0,56.16,407.16
70,2021-01-01,266780,"INDUSTRIA DE REFRESCOS, S. DE R.L. DE C.V.",Epura 20 Lts Policarbonato,COMPRAS,4319.1,601.2,4805.3
71,2021-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,Pago,TELEFONO,837.95,134.07,972.02
72,2021-01-01,2588611,TRANSPORTES POTOSINOS S.A. DE C.V.,FLETE,PAQUETERIA,313.26,50.12,363.38
73,2021-01-01,69590,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",PIROMETRO ATTO CPM45 50-450C,COMPRAS,2775.0,444.0,3219.0
74,2021-01-01,32507,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",Pago,COMPRAS,855.0,136.8,991.8
75,2021-01-01,9362074,Servicios Comerciales Amazon México S. de R.L. de C.V.,LEGO Technic Helicóptero de Rescate,NO DEDUCIBLE,326.25,52.2,378.45
76,2021-01-01,31427533,ADT Private Security Services de México S.A. de C.V.,Pago,MONITOREO CAMARAS ADT,1955.0,312.8,2267.8
77,2021-01-01,30089,INDUSTRIAS GSL SA DE CV,25A-D1P4N104,COMPRAS,720.74,112.39,833.13
78,2021-01-01,30092,INDUSTRIAS GSL SA DE CV,25A-D1P4N104,COMPRAS,0.0,0.0,0.0
79,2021-01-01,3848428,"COSTCO DE MEXICO, S.A. DE C.V.",CACAHUATES GRANDES 1.13 KG KIRKLAND SIGNATURE,NO DEDUCIBLE,0.0,0.0,0.0
80,2021-01-01,1205394,EFECTIVALE S. de R.L. de C.V.,DISPERSION,GASOLINA,950.0,136.8,1086.8
81,2021-01-01,414,MARIA MAGDALENA MARTINEZ ZAMORA,Microswichs,COMPRAS,0.0,0.0,0.0
82,2021-01-01,40745616,EVO PAYMENTS MEXICO S. DE R. L. DE C.V.,COBRO COMIS TAR DEBIT A NOM EVOPAYMX,COMISION BANCARIA,2524.0,403.84,2927.84
83,2021-01-01,783,Sanjuana Vargas Almanza,"AX24A - Control de temperatura digital 1/8 Din  48x96mm   entrada  J, K, pt100 , salida  4-20mA + Rele + Rele   alim 100-240vca ",COMPRAS,85.78,13.72,99.5
84,2021-01-01,4298,CARLOS ENRIQUE ZERMEÑO GUTIERREZ,Pago,COMPRAS,0.0,0.0,0.0
85,2021-01-01,69629,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",ALAMBRE NICROMEL 80/20 NO. 20,COMPRAS,4319.1,601.2,4805.3
86,2021-01-01,2045355,CONCESIONARIA BICENTENARIO SA DE CV,"UID: 103123678109912292982311234567091040, Caseta Crespo, carril : 33, Fecha : 2021-01-08 16:16:36",FLETES,2779.5,444.72,3224.2200000000003
87,2021-01-01,18255464,Operadora OMX. S.A. de C.V.,Rollo Termico OMX 57x45 10PK,PAPELERIA,0.0,0.0,0.0
88,2021-01-01,40749553,EVO PAYMENTS MEXICO S. DE R. L. DE C.V.,COBRO COMIS TAR CRED A NOM EVOPAYMX,COMISION BANCARIA,0.0,0.0,0.0
89,2021-01-01,13544,PHARMA PLUS SA DE CV,VALMETROL 3 TAB 800UI CAJ C/50,MEDICOS,0.0,0.0,0.0
90,2021-01-01,4352,SANJUANA VARGAS ALMANZA,Pago,COMPRAS,0.0,0.0,0.0
91,2021-01-01,69640,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",CABLE NIQUEL PURO 500° C CAL. 16,COMPRAS,106.05,16.97,123.02
92,2021-01-01,000051214006,CFE SUMINISTRADOR DE SERVICIOS BASICOS,Energia,ENERGIA ELECTRICA,3600.0,576.0,4176.0
93,2021-01-01,5790,DH4 COMERCIALIZADORA SA DE CV,"COMISION DEL 8% EN LA INTERMEDIACION MERCANTIL POR LA COLOCACION DE DIVERSAS RESISTENCIAS ELECTRICAS, A VARIOS CLIENTES DURANTE EL PERIODO DE DICIEMBRE DE 2020",SUELDOS DIRECCION,4000.0,640.0,4640.0
94,2021-01-01,381,HONORINA GARCIA RUBIO,"Apoyo de un consultor alfa para Implementación de un Sistema de Gestión de la Calidad SGC en CALOR Y CONTROL SA DE CV., acorde a la norma ISO 9001 versión 2015",CAPACITACION,1050.0,168.0,1218.0
95,2021-01-01,76,HONORINA GARCIA RUBIO,Pago,CAPACITACION,153.6,24.58,178.18
96,2021-01-01,323,INGENIERIA EN SISTEMAS AUTOMATIZADOS E INSTRUMENTACION SA DE CV,"Cartucho de baja concentración de 3/8 x 14"" de largo con 30 cm de cable, 300W 127V",COMPRAS,0.0,0.0,0.0
97,2021-01-01,37625,LAS MEJORES ESTACIONES SA DE CV,MAGNA 32011 (Despacho 2371311-0),GASOLINA,95.12,15.22,107.31
98,2021-01-01,40793272,EVO PAYMENTS MEXICO S. DE R. L. DE C.V.,COBRO COMIS TAR DEBIT A NOM EVOPAYMX,COMISION BANCARIA,303.0,48.48,351.48
99,2021-01-01,713550,Super Papelera S.A. de C.V. Suc Queretaro,CORRECTOR TIPO PLUMA MINI 4ML ACLP4-12  AINK,PAPELERIA,0.0,0.0,0.0
100,2021-01-01,11542,Termokew S.A. de C.V. ,Termopar tipo  K   doble en inox   1  4 pulg diam  x   30 pulg de long  con block ceramico y rondana de soporte temperatura  a trabajar  de  850°C  a  950 °C,COMPRAS,0.0,0.0,0.0
101,2021-01-01,11543,Termokew S.A. de C.V. ,PT-100  6 mm diam  x  50 mm  ext  50 cms  3 hilos Teflon,COMPRAS,0.0,0.0,0.0
102,2021-01-01,11544,Termokew S.A. de C.V. ,Termopar  K  de  1  4 pulg  de diametro  x   870 mm  de longitud  en acero inox con conector de  1  2  a   1  2 pulg  NPT y block de conexion con cabeza marina GDE.,COMPRAS,0.0,0.0,0.0
103,2021-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,Servicios de Telecomunicaciones,TELEFONO,3001.65,444.68,3446.33
104,2021-01-01,838,IRMA VILLALPANDO CASTANEDA,"TELA DE FIBRA DE VIDRIO DE 1/16"" TUS """,COMPRAS,4319.1,48.0,4805.3
105,2021-01-01,38643,"WEST INSTRUMENTS DE MEXICO, S.A.","TUBO PROTECTOR CERAMICO (SILMA) DE 19MM OD X 80.0 CMS DE LONGITUD, (SIN NIPLE). MARCA WEST",COMPRAS,4319.1,601.2,4805.3
106,2021-01-01,83217,COMERCIALIZADORA ELECTRICA INDUSTRIAL VAZQUEZ SA DE CV,ALAMBRE NICROMEL KANTHAL 80/20 CALIBRE 22,COMPRAS,0.0,0.0,0.0
107,2021-01-01,2830,SOLUCIONES LABORALES CF S.A. DE C.V.,Servicio de comercialización,SUELDOS VENTAS,83.84,13.42,97.26
108,2021-01-01,4069,ESQUEMAS DE PRODUCTIVIDAD EMPRESARIAL S.C.,Servicios de contabilidad de costos,SUELDOS PRODUCCION,450.0,72.0,522.0
109,2021-01-01,328,INGENIERIA EN SISTEMAS AUTOMATIZADOS E INSTRUMENTACION SA DE CV,"TERMOPAR TIPO K DE 5MM DE X 60MM DE LONGITUD CON EXTENSION DE 3 MTS F.V. MALLA, BAYONETA DE 2 GIROS STD,ADAPTADOR, RESORTE, ZAPATA TIPO ESPADA",COMPRAS,266.4,42.62,309.02
110,2021-01-01,190572,Kabla Comercial S.A. de C.V.,"Ensayo Inmunocromatográfico Tipo Cassette para la Determinación Cualitativa de Anticuerpos IgG/IgM para COVID 19
Kit con 25 Pruebas",MEDICOS,2572.5,411.6,2984.1
111,2021-01-01,416,MARIA MAGDALENA MARTINEZ ZAMORA,Trnsformador para maquina de 50 cm,COMPRAS,813.31,130.13,943.44
112,2021-01-01,70107,NOVATEL MEXICANA S.A. DE C.V,"BANDA 0.006"" TWO PLY 15 MM X 750 MM",COMPRAS,73.09,11.7,84.79
113,2021-01-01,102306,OPERADORA DE SERVICIOS PAQUETEXPRESS SA DE CV,SERVICIOS DE PAQUETERIA Y MENSAJERIA,PAQUETERIA,0.0,0.0,0.0
114,2021-01-01,40817571,EVO PAYMENTS MEXICO S. DE R. L. DE C.V.,COBRO COMIS TAR CRED A NOM EVOPAYMX,COMISION BANCARIA,495.0,79.2,574.2
115,2021-01-01,90106835,SEGUROS MONTERREY NEW YORK LIFE SA DE CV,Pago,SEGUROS,-600.0,-96.0,-696.0
116,2021-01-01,585,TRABAJADORES PROACTIVOS DEL CENTRO SC,Inspección de materiales o productos,SUELDOS PRODUCCION,0.0,0.0,0.0
117,2021-01-01,1662,AMBOSS INDUSTRIAL S DE RL DE CV,"REPARACIÓN Y MANTENIMIENTO A TABLERO DE CONTROL.
OC01749",MAQUILAS,1390.0,0.0,1390.0
118,2021-01-01,170,AMBOSS INDUSTRIAL S DE RL DE CV,Pago,MAQUILAS,4319.1,601.2,4805.3
119,2021-01-01,5692,EXI BAJIO SA DE CV,Servicio de Arrendamiento,RENTA COPIADORA,4319.1,601.2,4805.3
120,2021-01-01,78,HONORINA GARCIA RUBIO,Pago,CAPACITACION,2300.0,368.0,2668.0
121,2021-01-01,3556,"INGENIERIA, MAQUILAS Y PROYECTOS, SA DE CV","ANILLO DE LATON PARA TUBULARES 7/16""",COMPRAS,228.23,36.52,264.75
122,2021-01-01,337,INGENIERIA EN SISTEMAS AUTOMATIZADOS E INSTRUMENTACION SA DE CV,"BANDA MICA 78mm. X 127mm. DE ANCHO EN 1200W, 240V. CIERRE CEJA. Y TERMINALES DE TORILLOS UNO EN CADA EXTREMO",COMPRAS,0.0,0.0,0.0
123,2021-01-01,3845,NOVATEL MEXICANA S.A. DE C.V,Pago,COMPRAS,4319.1,601.2,4805.3
124,2021-01-01,23,FRANCISCO DE GUADALUPE NOGUERAS RUBIO,Servicio dirección empresarial,GERENCIA ADMON,4319.1,601.2,4805.3
125,2021-01-01,40840637,EVO PAYMENTS MEXICO S. DE R. L. DE C.V.,COBRO COMIS TAR DEBIT A NOM EVOPAYMX,COMISION BANCARIA,0.0,0.0,0.0
126,2021-01-01,691,LUIS ADRIAN DIEZ DE BONILLA ACUÑA,AM-42-500,COMPRAS,0.0,0.0,0.0
127,2021-01-01,475880,"INDUSTRIA DE REFRESCOS, S. DE R.L. DE C.V.",Epura 20 Lts Policarbonato,COMPRAS,289.76,46.36,336.12
128,2021-01-01,1331,MARTIN SANDOVAL HERNANDEZ,REIST. BANDA CERAMICA EN INOX DE 125.7MM DE DIAMETRO X 66MM DE ANCHO 2000W240V CON CIERRE STD TERMINALES CABLE EXTREMO 50CM EN LONGITUD MAS ORIFICIO,COMPRAS,1764.0,282.24,2046.24
129,2021-01-01,1332,MARTIN SANDOVAL HERNANDEZ,"BOQUILLA 2 X 2 "" 350W 240V",COMPRAS,5329.32,852.69,6182.01
130,2021-01-01,12963683,DEREMATE.COM DE MEXICO S DE RL DE CV,Uso del servicio 04-01-2021,SUSCRIPCIONES,336.9,62.09,398.99
131,2021-01-01,1334,MARTIN SANDOVAL HERNANDEZ,RESIST. TIPO BANDA MICA EN CERO INOX. 150MM DIAMETRO X 1500MM ANCHO 2300W 220/440V CON CIERRE ALLEN LLAVE 3 TORNILLOS 2 A EXTREMO Y 1 AUN SOLO EXTREMO (O.C. 01734),COMPRAS,267.23,52.06,319.29
132,2021-01-01,69752,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",CABLE TERMAFLEX 200 CAL 6,COMPRAS,140.0,0.0,140.0
133,2021-01-01,373,BC PRODUCTOS VS INCENDIO QUERETARO SA DE CV,MANTENIMIENTO A EXTINTOR PORTÁTIL A BASE DE PQS TIPO ABC DE 6 KG,MTTO LOCAL,0.0,0.0,0.0
134,2021-01-01,83438,COMERCIALIZADORA ELECTRICA INDUSTRIAL VAZQUEZ SA DE CV,BLOCK CERAMICO PARA CABEZA MARINA KNN-2PC,COMPRAS,0.0,0.0,0.0
135,2021-01-01,25618,"Gomar Eléctrica Bajío,S.A. DE C.V.","CONDULET C/TAPA S3 TIPO C 1/2""""",COMPRAS,0.0,0.0,0.0
136,2021-01-01,5431,MARISOL MENDOZA CHAVEZ,GAS OXIGENO INDUSTRIAL 10 M3 .,COMPRAS,4319.1,601.2,4805.3
137,2021-01-01,9693,"POWER DEPOT, S.A. DE C.V.",MOTOR 3/4 HP 4P ARM.56C 3F UTE MCA US,COMPRAS,4319.1,601.2,4805.3
138,2021-01-01,40881238,EVO PAYMENTS MEXICO S. DE R. L. DE C.V.,COBRO COMIS TAR DEBIT A NOM EVOPAYMX,COMISION BANCARIA,1204.17,192.67,1396.84
139,2021-01-01,763,Rey David Rodriguez Lopez,Pago,COMPRAS,250.0,0.0,250.0
140,2021-01-01,4343,CARLOS ENRIQUE ZERMEÑO GUTIERREZ,VARILLA DE SOLDADURA DE PLATA AL 35% EN 1/16 X 18,COMPRAS,0.0,0.0,0.0
141,2021-01-01,3862,EDGAR AGUILAR DIAZ,THINNER SIN ENVASE,COMPRAS,1124.82,175.41,1300.23
142,2021-01-01,1995,TERESA BAILON BAEZA,"TERMÓMETRO BIMETALICO CON CARATULA DE 2"" DE VASTAGO  DE 2 1/2"" RANGO DE 0-150°C Y CONEXIÓN DE 1/4"" NPT",SANITIZACION,778.61,121.42,900.03
143,2021-01-01,374,BC PRODUCTOS VS INCENDIO QUERETARO SA DE CV,MANTENIMIENTO A EXTINTOR PORTÁTIL A BASE DE PQS TIPO ABC DE 1 KG.,MTTO LOCAL,1223.2,195.71,1418.91
144,2021-01-01,1417,"COMERCIALIZADORA CHRISALIM, S.A. DE C.V.",ACIDO MURIATICO SULTAN 900ML,COMPRAS,4319.1,48.0,4805.3
145,2021-01-01,2318,COMERCIALIZADORA ELECTRICA INDUSTRIAL VAZQUEZ SA DE CV,Pago,COMPRAS,1320.0,211.2,1531.2
146,2021-01-01,2818,BENJAMÍN MAYA MONDRAGÓN,"PERNOS EN INOX. 3/8, CUERDA 30MM STD",COMPRAS,0.0,0.0,0.0
147,2021-01-01,17116,LAS MEJORES ESTACIONES SA DE CV,BP REGULAR 87 OCTANOS,GASOLINA,4319.1,601.2,4805.3
148,2021-01-01,70135,NOVATEL MEXICANA S.A. DE C.V,"NOVAFLON 0.010"" STD C/A SILICONADO O",COMPRAS,3100.0,496.0,3596.0
149,2021-01-01,40892408,EVO PAYMENTS MEXICO S. DE R. L. DE C.V.,COBRO COMI TPV WIFI ETH A NOM EVOPAYMX,COMISION BANCARIA,0.0,0.0,0.0
150,2021-01-01,11193,TUVASUR DEL BAJIO SA DE CV,"COPLE ACERO C-40 ROSC 150# 1/2""",COMPRAS,0.0,0.0,0.0
151,2021-01-01,11194,TUVASUR DEL BAJIO SA DE CV,"TUBO A/C C/COST (0.109) 1/2""",COMPRAS,0.0,0.0,0.0
152,2021-01-01,35562294,Autotransportes de Carga Tresguerras S.A de C.V.,Flete,PAQUETERIA,0.0,0.0,0.0
153,2021-01-01,000005365959,"EDENRED MEXICO, S.A. DE C.V.",COMISION BONOS DE CARBONO,COMPRAS,0.0,0.0,0.0
154,2021-01-01,000051382259,CFE SUMINISTRADOR DE SERVICIOS BASICOS,Pago,ENERGIA ELECTRICA,314.66,50.34,365.0
155,2021-01-01,731,CONSORCIO VLASER S.A. DE C.V.,"CABINA TERMICA EN ACERO INOXIDABLE CAL 18 DE 97 CM DE ALTO X 70 CM DE ANCHO X 45 CM DE FONDO, CON 4 LAMPARAS CERAMICAS Y GABINETE LATERAL DE 30X30X25 CM",COMPRAS,0.0,0.0,0.0
156,2021-01-01,168620,ELECTROTERMICA NACIONAL SA DE CV,"Cable calefactor autorregulable con malla metalica, maximo 225ºC, de 30 w/m a 230 volts, codigo 30FSS2-C. (103588-1)",COMPRAS,344.84,55.16,400.0
157,2021-01-01,375385,"ELECTRONICA ZARAGOZA, S.DE R.L.",TIMBRE DIGITAL INALAMBRICO DE 16 TONOS,MTTO COMPUTO,730.28,116.84,847.12
